Time (min)	Area (pixel^2)	Normalized 
0.0	93725.0	1.0
15.0	78883.0	0.8416431048279541
30.0	70258.0	0.7496185649506535
45.0	49776.5	0.5310909575886903
60.0	39556.0	0.42204321152307284
75.0	34748.5	0.3707495332088557
90.0	27400.5	0.2923499599893305
105.0	22119.5	0.23600426780474792
120.0	17837.0	0.1903120832221926
135.0	15967.5	0.17036543078154173
150.0	13300.0	0.14190450786876502
165.0	10220.0	0.10904241130968258
180.0	8440.0	0.0900506801813817
195.0	8606.0	0.0918218191517738
210.0	5523.5	0.0589330488130168
225.0	5899.5	0.06294478527607363
240.0	4986.0	0.05319818618298213
255.0	4779.0	0.050989597225926914
270.0	3577.0	0.03816484395838891
285.0	928.5	0.009906641771138971
300.0	498.0	0.005313416911176314
315.0	374.5	0.003995732195252067
330.0	576.0	0.006145638837023206
345.0	411.0	0.004385169378500933
360.0	250.0	0.002667377967457989
375.0	248.5	0.002651373699653241
390.0	150.5	0.0016057615364097092
405.0	250.0	0.002667377967457989
420.0	62.5	0.0006668444918644973
435.0	128.0	0.0013656975193384903
450.0	72.0	0.0007682048546279008
465.0	0.0	0.0
480.0	34.0	0.00036276340357428645
495.0	29.0	0.0003094158442251267
510.0	0.0	0.0
525.0	181.5	0.0019365164043745
540.0	332.0	0.003542277940784209
555.0	115.0	0.001226993865030675
570.0	102.5	0.0010936249666577754
585.0	69.5	0.0007415310749533209
600.0	15.0	0.00016004267804747933
615.0	10.5	0.00011202987463323553
630.0	0.0	0.0
645.0	52.5	0.0005601493731661777
660.0	19.0	0.00020272072552680715
675.0	55.0	0.0005868231528407575
690.0	84.5	0.0009015737530008002
705.0	73.0	0.0007788743664977327
720.0	192.5	0.0020538810349426512
735.0	193.5	0.0020645505468124834
750.0	2.5	2.6673779674579886e-05
765.0	43.5	0.00046412376633769007
780.0	117.5	0.0012536676447052547
795.0	49.0	0.0005228060816217658
810.0	0.0	0.0
825.0	0.0	0.0
840.0	0.0	0.0
855.0	0.0	0.0
870.0	0.0	0.0
885.0	0.0	0.0
900.0	16.5	0.00017604694585222726
915.0	192.5	0.0020538810349426512
930.0	0.0	0.0
945.0	37.5	0.00040010669511869834
960.0	8.5	9.069085089357161e-05
975.0	0.0	0.0
990.0	0.0	0.0
1005.0	0.0	0.0
1020.0	0.0	0.0
1035.0	12.0	0.00012803414243798346
1050.0	0.0	0.0
